Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
3.06667,92,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-7.69454,-71.9988,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,bite,
3.1,93,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-6.57503,-61.83,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.13333,94,-3.47886,-1.71302,-3.45405,-1.33647,32.7647,-5.21561,-48.653,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.16667,95,-3.47886,-1.71302,-3.45405,-1.33647,32.623,-3.73625,-34.2774,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.2,96,-3.47886,-1.71302,-3.45405,-1.33647,32.2129,-2.25689,-20.5124,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.23333,97,-3.47886,-1.71302,-3.45405,-1.33647,31.5567,-0.897481,-9.16748,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.26667,98,-3.47886,-1.71302,-3.45405,-1.33647,30.6768,0.222035,-2.05192,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.3,99,-3.47886,-1.71302,-3.45405,-1.33647,29.5956,0.981706,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.33333,100,-3.47886,-1.71302,-3.45405,-1.33647,28.3354,1.26159,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.36667,101,-3.47886,-1.71302,-3.45405,-1.33647,26.9186,1.25244,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.4,102,-3.47886,-1.71302,-3.45405,-1.33647,25.3676,1.22626,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.43333,103,-3.47886,-1.71302,-3.45405,-1.33647,23.7048,1.18494,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.46667,104,-3.47886,-1.71302,-3.45405,-1.33647,21.9525,1.13038,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.5,105,-3.47886,-1.71302,-3.45405,-1.33647,20.1331,1.06446,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
